"REF_DATE","GEO","DGUID","Trade","Domain","Trading partner","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2016A000011124","Imports from","Audio-visual and interactive media","All trading partners","Canadian dollars","47","millions","6","v122690116","1.1.25.1","6932.0","","","","1"
"2023","Canada","2016A000011124","Imports from","Audio-visual and interactive media","All trading partners","Canadian dollars","47","millions","6","v122690116","1.1.25.1","7378.8","","","","1"
"2019","Canada","2016A000011124","Imports from","Film and video","All trading partners","Canadian dollars","47","millions","6","v122690157","1.1.26.1","1778.1","","","","1"
"2020","Canada","2016A000011124","Imports from","Film and video","All trading partners","Canadian dollars","47","millions","6","v122690157","1.1.26.1","1727.7","","","","1"
"2021","Canada","2016A000011124","Imports from","Film and video","All trading partners","Canadian dollars","47","millions","6","v122690157","1.1.26.1","1700.3","","","","1"
"2022","Canada","2016A000011124","Imports from","Film and video","All trading partners","Canadian dollars","47","millions","6","v122690157","1.1.26.1","1765.6","","","","1"
"2023","Canada","2016A000011124","Imports from","Film and video","All trading partners","Canadian dollars","47","millions","6","v122690157","1.1.26.1","1747.8","","","","1"
"2019","Canada","2016A000011124","Imports from","Broadcasting","All trading partners","Canadian dollars","47","millions","6","v122690198","1.1.27.1","2373.4","","","","1"
"2020","Canada","2016A000011124","Imports from","Broadcasting","All trading partners","Canadian dollars","47","millions","6","v122690198","1.1.27.1","2781.5","","","","1"
"2021","Canada","2016A000011124","Imports from","Broadcasting","All trading partners","Canadian dollars","47","millions","6","v122690198","1.1.27.1","3572.1","","","","1"
"2022","Canada","2016A000011124","Imports from","Broadcasting","All trading partners","Canadian dollars","47","millions","6","v122690198","1.1.27.1","3875.1","","","","1"
"2023","Canada","2016A000011124","Imports from","Broadcasting","All trading partners","Canadian dollars","47","millions","6","v122690198","1.1.27.1","4153.4","","","","1"
"2019","Canada","2016A000011124","Imports from","Interactive media","All trading partners","Canadian dollars","47","millions","6","v122690239","1.1.28.1","757.3","","","","1"
"2020","Canada","2016A000011124","Imports from","Interactive media","All trading partners","Canadian dollars","47","millions","6","v122690239","1.1.28.1","815.3","","","","1"
"2021","Canada","2016A000011124","Imports from","Interactive media","All trading partners","Canadian dollars","47","millions","6","v122690239","1.1.28.1","1127.2","","","","1"
"2022","Canada","2016A000011124","Imports from","Interactive media","All trading partners","Canadian dollars","47","millions","6","v122690239","1.1.28.1","1291.3","","","","1"
"2023","Canada","2016A000011124","Imports from","Interactive media","All trading partners","Canadian dollars","47","millions","6","v122690239","1.1.28.1","1477.6","","","","1"
"2019","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690280","1.1.29.1","1010.6","","","","1"
"2020","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690280","1.1.29.1","1036.9","","","","1"
"2021","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690280","1.1.29.1","1195.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690280","1.1.29.1","1120.4","","","","1"
