title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
Betroffenheit,betroffenheit,contemporary,co,53,26,62,6,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Birthday Offering,birthday offering,contemporary,co,29,34,55,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Black Cake,black cake,contemporary,co,70,47,48,61,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Blake Works,blake works,contemporary,co,38,22,55,34,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Blanche Neige,blanche neige,family_classic,female,39,26,65,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Body and Soul,body and soul,contemporary,co,75,7,52,84,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Brandenburg,brandenburg,contemporary,co,74,3,55,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Carbon Life,carbon life,contemporary,co,60,3,52,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Charlotte's Web,charlotte's web,family_classic,female,77,30,72,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Chopiniana,chopiniana,romantic_tragedy,female,57,20,68,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Concerto (MacMillan),concerto macmillan,contemporary,co,17,40,55,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Concerto Barocco,concerto barocco,contemporary,co,39,32,62,54,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Concerto DSCH,concerto dsch,contemporary,co,30,26,55,56,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Dances at a Gathering,dances at a gathering,contemporary,co,40,42,65,74,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Daphnis and Chloé,daphnis and chloe,romantic_tragedy,co,61,34,68,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Dark Matters,dark matters,contemporary,co,82,24,58,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Death in Venice,death in venice,adult_literary_drama,male,70,2,60,74,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Deep Field,deep field,contemporary,co,63,4,48,48,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
