show_title,category,base_score,score_with_all_weights,score_without_live_analytics,score_without_economics,score_without_stone_olafson,delta_live_analytics,delta_economics,delta_stone_olafson,aud__engagement_factor,consumer_confidence_prairies,energy_index,inflation_adjustment_factor
Dona Peron,adult_literary_drama,53.300000000000004,72.93655284896843,67.53384523052632,60.44220000000001,69.46338366568422,5.402707618442108,12.494352848968425,3.473169183284213,1.08,50.41,1391.67,1.158625730994152
Dracula,romantic_tragedy,62.75000000000001,62.50418133223159,58.25179993684212,70.69728750000002,59.527791744982466,4.25238139538947,-8.193106167768427,2.9763895872491233,1.073,50.41,746.34,0.9437134502923976
Emma Bovary,adult_literary_drama,51.6,59.368476182400016,54.97081128000001,58.51440000000001,56.541405888000014,4.39766490240001,0.8540761824000072,2.827070294400002,1.08,50.0,1036.49,1.0
Fiddle & the Drum – Joni Mitchell,pop_ip,47.75,54.786243585150004,50.86930695,53.998087500000004,52.177374843,3.9169366351500017,0.7881560851499998,2.608868742150001,1.077,50.0,1036.49,1.0
Frankenstein,adult_literary_drama,64.3,73.28700829932633,67.85834101789474,72.9162,69.79715076126317,5.428667281431586,0.37080829932632753,3.4898575380631627,1.08,50.41,1007.66,0.9985380116959064
Giselle,romantic_tragedy,54.2,73.25888525519791,68.27482316421055,61.06443,69.7703669097123,4.984062090987365,12.194455255197909,3.488518345485616,1.073,50.41,1391.67,1.135233918128655
Great Gatsby,adult_literary_drama,65.39999999999999,75.2460919056,69.67230732,74.16359999999999,71.662944672,5.573784585599995,1.0824919056000084,3.583147233600002,1.08,50.0,1036.49,1.0
Grimm,family_classic,38.6,52.506181263583166,48.93399931368422,43.48869,50.00588691769825,3.5721819498989476,9.017491263583167,2.5002943458849174,1.073,50.41,1375.17,1.182748538011696
Handmaid's Tale,adult_literary_drama,59.65,93.62349032930524,86.68841697157893,67.6431,89.16522888505261,6.93507335772631,25.980390329305237,4.458261444252628,1.08,50.41,1866.88,1.1162280701754383
Hansel & Gretel,family_classic,61.150000000000006,82.87795961953789,77.23947774421052,68.8946475,78.93139011384561,5.638481875327372,13.983312119537885,3.946569505692281,1.073,50.41,1375.17,1.16812865497076
In the Middle Somewhat Elevated,contemporary,42.400000000000006,47.47347442992001,45.16981392000002,46.79052000000001,45.21283279040001,2.303660509919993,0.6829544299200023,2.260641639520003,1.051,50.0,1036.49,1.0
In the Upper Room,contemporary,42.35,47.417491559130006,45.11654763000001,46.7353425,45.1595157706,2.30094392913,0.6821490591300048,2.257975788530004,1.051,50.0,1036.49,1.0
Infra,contemporary,38.300000000000004,42.88287902514001,40.80197814000001,42.26596500000001,40.84083716680001,2.0809008851399966,0.616914025139998,2.0420418583399993,1.051,50.0,1036.49,1.0
Jewels,contemporary_mixed_bill,46.25,51.78415548075,49.27131825000001,51.0391875,49.318243315,2.5128372307499944,0.7449679807500047,2.465912165750005,1.051,50.0,1036.49,1.0
Jungle Book,family_classic,57.25000000000001,65.44216489965001,60.98990205000001,64.5007125,62.32587133300001,4.452262849649998,0.9414523996500037,3.1162935666500005,1.073,50.0,1036.49,1.0
La Bayadere,romantic_tragedy,46.25,52.86812448225,49.27131825000001,52.1075625,50.350594745,3.596806232249996,0.7605619822500032,2.517529737250001,1.073,50.0,1036.49,1.0
La Fille mal gardée,classic_comedy,50.9,58.40041462794,54.22508322000001,57.560265,55.6194425028,4.175331407939993,0.8401496279400007,2.7809721251400035,1.077,50.0,1036.49,1.0
La Sylphide,romantic_tragedy,44.650000000000006,60.65855456283001,56.53173771000001,50.30492250000001,57.77005196460001,4.126816852830004,10.353632062830002,2.888502598230005,1.073,50.41,1375.17,1.1776315789473684
La Traviata,adult_literary_drama,58.3,67.0771736712,62.108494140000005,66.1122,63.883022544,4.968679531199996,0.9649736711999992,3.1941511272000014,1.08,50.0,1036.49,1.0
